Slide_ID,Endpoint,Most_Frequent_Correct,GNN,Human,Cooperation
1.0,LogP,2,0,2,2.0
2.0,LogP,2,0,2,2.0
3.0,LogP,2,0,2,2.0
4.0,LogD,2,0,2,2.0
5.0,LogD,0,0,0,0.0
6.0,Solubility,0,0,0,0.0
7.0,Solubility,2,1,2,3.0
8.0,Solubility,0,1,0,1.0
9.0,Solubility,0,1,0,1.0
10.0,Solubility,2,1,2,3.0
11.0,Solubility,0,0,0,0.0
12.0,Solubility,2,0,2,2.0
13.0,Permeability,0,1,0,1.0
14.0,Permeability,0,0,0,0.0
15.0,Permeability,2,1,2,3.0
16.0,hERG,2,1,2,3.0
17.0,hERG,2,1,2,3.0
18.0,hERG,0,0,0,0.0
19.0,hERG,0,0,0,0.0
20.0,LogP,2,0,2,2.0
21.0,LogP,2,1,2,3.0
22.0,LogP,2,1,2,3.0
23.0,LogD,0,0,0,0.0
24.0,LogD,2,1,2,3.0
25.0,Solubility,2,1,2,3.0
26.0,Solubility,2,0,2,2.0
27.0,Solubility,0,0,0,0.0
28.0,Solubility,0,1,0,1.0
29.0,Solubility,2,1,2,3.0
30.0,Solubility,0,1,0,1.0
31.0,Permeability,2,0,2,2.0
32.0,Permeability,2,0,2,2.0
33.0,Permeability,2,1,2,3.0
34.0,hERG,0,1,0,1.0
35.0,hERG,0,1,0,1.0
36.0,hERG,2,0,2,2.0
37.0,hERG,0,1,0,1.0
38.0,LogP,2,1,2,3.0
39.0,LogP,2,0,2,2.0
40.0,LogP,2,1,2,3.0
41.0,LogD,2,1,2,3.0
42.0,LogD,2,0,2,2.0
43.0,Solubility,0,1,0,1.0
44.0,Solubility,2,0,2,2.0
45.0,Solubility,0,0,0,0.0
46.0,Solubility,2,1,2,3.0
47.0,Solubility,0,1,0,1.0
48.0,Solubility,2,0,2,2.0
49.0,Permeability,2,0,2,2.0
50.0,Permeability,2,1,2,3.0
51.0,Permeability,0,0,0,0.0
52.0,hERG,2,1,2,3.0
53.0,hERG,2,0,2,2.0
54.0,hERG,2,1,2,3.0
55.0,hERG,0,1,0,1.0
56.0,LogP,2,1,2,3.0
57.0,LogP,2,1,2,3.0
58.0,LogP,2,1,2,3.0
59.0,LogD,0,0,0,0.0
60.0,LogD,0,0,0,0.0
61.0,LogD,0,0,0,0.0
62.0,Solubility,2,0,2,2.0
63.0,Solubility,2,0,2,2.0
64.0,Solubility,2,0,2,2.0
65.0,Solubility,0,1,0,1.0
66.0,Solubility,0,0,0,0.0
67.0,Solubility,2,0,2,2.0
68.0,Solubility,2,0,2,2.0
69.0,Permeability,2,0,2,2.0
70.0,Permeability,2,0,2,2.0
71.0,Permeability,2,0,2,2.0
72.0,hERG,0,1,0,1.0
73.0,hERG,0,1,0,1.0
74.0,hERG,0,1,0,1.0
